NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL
class (for reference only),Reference,class (for reference only),Reference,Name,Notes
Render,func_146_a,*,*,renderOffsetAABB,"Renders a white box with the bounds of the AABB translated by the offset. Args: aabb, x, y, z"
RenderItem,func_147_a,*,*,doRender,"Actually renders the given argument. This is a synthetic bridge method, always casting down its argument and then handing it off to a worker function which does the actual work. In all probabilty, the class Render is generic (Render<T extends Entity) and this method has signature public void func_147_a(T entity, double d, double d1, double d2, float f, float f1). But JAD is pre 1.5 so doesn't do that."
Render,func_144_c,*,*,renderShadow,"Renders the entity shadows at the position, shadow alpha and partialTickTime. Args: entity, x, y, z, shadowAlpha, partialTickTime"
EntitySnowball,func_6378_b,*,*,onCollideWithPlayer,"Called by a player entity when they collide with an entity"
Render,func_145_a,*,*,renderShadowOnBlock,"Renders a shadow projected down onto the specified block. Brightness of the block plus how far away on the Y axis determines the alpha of the shadow.  Args: block, centerX, centerY, centerZ, blockX, blockY, blockZ, baseAlpha, shadowSize, xOffset, yOffset, zOffset"
Render,func_142_a,*,*,renderAABB,"Adds to the tesselator a box using the aabb for the bounds. Args: aabb"
SoundManager,func_6372_a,*,*,addSound,"Adds a sounds with the name from the file. Args: name, file"
SoundManager,func_6373_b,*,*,addStreaming,"Adds an audio file to the streaming SoundPool."
SoundManager,func_6374_c,*,*,addMusic,"Adds an audio file to the music SoundPool."
EntitySnowball,func_6375_a,*,*,setVelocity,"Sets the velocity to the args. Args: x, y, z"
EntityLiving,func_6376_z,*,*,getEntityTexture,"returns the directory and filename as a String"
Entity,func_6377_h,*,*,mountEntity,"Called when a player mounts an entity. e.g. mounts a pig, mounts a boat."
Render,func_141_b,*,*,doRenderShadowAndFire,"Renders the entity's shadow and fire (if its on fire). Args: entity, x, y, z, yaw, partialTickTime"
GLAllocation,func_1124_a,*,*,generateDisplayLists,"Generates the specified number of display lists and returns the first index."
GLAllocation,func_1125_c,*,*,createDirectIntBuffer,"Creates and returns a direct int buffer with the specified capacity. Applies native ordering to speed up access."
GLAllocation,func_1126_a,*,*,deleteTexturesAndDisplayLists,"Deletes all textures and display lists. Called when Minecraft is shutdown to free up resources."
GLAllocation,func_1127_b,*,*,createDirectByteBuffer,"Creates and returns a direct byte buffer with the specified capacity. Applies native ordering to speed up access."
CraftingManager,func_1120_a,*,*,getInstance,"Returns the static instance of this class"
CraftingManager,func_1121_a,*,*,addRecipe,"Adds a recipe. See spreadsheet on first page for details."
RecipesTools,func_1122_a,*,*,addRecipes,"Adds the tool recipes to the CraftingManager."
GLAllocation,func_1123_d,*,*,createDirectFloatBuffer,"Creates and returns a direct float buffer with the specified capacity. Applies native ordering to speed up access."
GLAllocation,func_1128_a,*,*,generateTextureNames,"Generates texture names and stores them in the specified buffer."
Pathfinder,func_1129_a,*,*,addToPath,"Adds a path from start to end and returns the whole path (args: unused, start, end, unused, maxDistance)"
Chunk,func_1018_b,*,*,generateHeightMap,"Generates the height map for a chunk from scratch"
Chunk,func_1019_c,*,*,getBlockLightValue,"Gets the amount of light on a block taking into account sunlight"
Chunk,func_1010_a,*,*,setBlockIDWithMetadata,"Sets a blockID of a position within a chunk with metadata. Args: x, y, z, blockID, metadata"
Chunk,func_1011_a,*,*,setLightValue,"Sets the light value at the coordinate. If enumskyblock is set to sky it sets it in the skylightmap and if its a block then into the blocklightmap. Args enumSkyBlock, x, y, z, lightValue"
Chunk,func_1012_a,*,*,needsSaving,"Returns true if this Chunk needs to be saved"
Chunk,func_1013_a,*,*,getEntitiesOfTypeWithinAAAB,"Gets all entities that can be assigned to the specified class. Args: entityClass, aabb, listToFill"
Chunk,func_1017_a,*,*,isAtLocation,"Checks whether the chunk is at the X/Z location specified"
BlockPumpkin,func_4026_a,*,*,onBlockPlacedBy,"Called when a block is using an item and passed in who placed it. Args: x, y, z, entityLiving"
BlockTNT,func_4027_c,*,*,onBlockDestroyedByExplosion,"Called upon the block being destroyed by an explosion"
Block,func_4024_a,*,*,setStepSound,"Sets the footstep sound for the block. Returns the object for convenience in constructing."
BlockRedstoneOre,func_4025_d,*,*,tickRate,"How many world ticks before ticking"
Item,func_4022_a,*,*,setIconIndex,"Sets the icon index for this item. Returns the item."
ItemFishingRod,func_4023_b,*,*,shouldRotateAroundWhenRendering,"Returns true if this item should be rotated by 180 degrees around the Y axis when being held in an entities hands."
ItemTool,func_4020_a,*,*,getDamageVsEntity,"Returns the damage against a given entity."
ItemTool,func_4021_a,*,*,hitEntity,"Current implementations of this method in child classes do not use the entry argument beside ev. They just raise the damage on the stack."
